Id,MSSubClass,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,TotalBath,BedroomAbvGr,GarageCars,YrSold,SalePrice
1,60,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,1710,1,0,2,1,3.5,3,2,2008,208500
2,20,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,1262,0,1,2,0,2.5,3,2,2007,181500
3,60,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,1786,1,0,2,1,3.5,3,2,2008,223500
4,70,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,1717,1,0,1,0,2,3,3,2006,140000
5,60,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,2198,1,0,2,1,3.5,4,3,2008,250000
6,50,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,1362,1,0,1,1,2.5,1,2,2009,143000
7,20,Somerst,Norm,1Fam,1Story,8,5,2004,2005,1694,1,0,2,0,3,3,2,2007,307000
8,60,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,2090,1,0,2,1,3.5,3,2,2009,200000
9,50,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,1774,0,0,2,0,2,2,2,2008,129900
10,190,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,1077,1,0,1,0,2,2,1,2008,118000
11,20,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,1040,1,0,1,0,2,3,1,2008,129500
12,60,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,2324,1,0,3,0,4,4,3,2006,345000
13,20,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,912,1,0,1,0,2,2,1,2008,144000
14,20,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,1494,0,0,2,0,2,3,3,2007,279500
15,20,NAmes,Norm,1Fam,1Story,6,5,1960,1960,1253,1,0,1,1,2.5,2,1,2008,157000
16,45,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,854,0,0,1,0,1,2,2,2007,132000
17,20,NAmes,Norm,1Fam,1Story,6,7,1970,1970,1004,1,0,1,0,2,2,2,2010,149000
18,90,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,1296,0,0,2,0,2,2,2,2006,90000
19,20,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,1114,1,0,1,1,2.5,3,2,2008,159000
